name,gender
اَبدَه,male
اَبیش,male
اَپروَند,male
اَپروَیژ,male
اَپیوه,male
اَترس,male
اَدرك,female
اَرتان,male
اَردویسور,female
اَرشَن,male
اَرشام,male
اَرشان,male
اَرشیت,female
اَشوداد,male
اَگومان,male
اَمُرداد,female
اَمِستریس,female
اَوَخشیا,male
اَوَرداد,male
اَوَركام,male
اَهنَوَد,male
اَهونَوَر,female
اُزیرن,male
اُشهن,male
اُورنگ,male
اُوژن,male
اِستاتیرا,female
اباذر,male
ابالفضل,male
ابتسام,female
ابتهاج,male
ابتهاش,male
ابتین,male
ابرارها,male
ابراهیم,male
ابریشم,female
ابناس,female
ابوالحسن,male
ابوالحسین,male
ابوالعباس,male
ابوالعلا,male
ابوالفتح,male
ابوالفرج,male
ابوالفضل,male
ابوالقاسم,male
ابوبكر,male
ابوذر,male
ابوریحان,male
ابوطالب,male
ابوعزیز,male
ابومسلم,male
اپرنگ,male
اپرویز,male
اتبك,male
اترك,male
اترین,male
اثیر,male
اثیرالدین,male
احترام,female
احتشام,male
احد,male
احسان,male
احسان الله,male
احلام,female
احمد,male
احمدرضا,male
احیا,male
اختای,male
اختر,female
اختیارالدین,male
اخشاد,male
اخشید,male
اخگر,female
ادریس,male
ادرینا,female
ادلیا,female
ادنا,male
ادهم,male
ادیان,male
ادیب,male
اذرخش,male
اراد,male
اران,male
ارانوس,female
ارباب,male
ارباد,male
ارباس,male
اربیل,male
ارتا,both
ارتا آریا,male
ارتاریا,male
ارتاش,female
ارتافرین,male
ارتان,male
ارتگین,male
ارتمن,male
ارتنگ,male
ارتیان,male
ارتین,male
ارج,male
ارجاسب,male
ارجاسپ,male
ارجمند,male
ارد,male
اردا,male
اردشام,male
اردشیر,male
اردلان,male
اردم,male
اردوان,male
اردی داد,male
اردیان,male
اردیبهشت,female
اردین,male
ارزنده,female
ارزین,male
ارزینه,female
ارژن,male
ارژنگ,male
ارس,male
ارسا,female
ارسام,male
ارسان,female
ارسطو,male
ارسلان,male
ارسمان,male
ارسن,male
ارسیا,male
ارسیما,male
ارش,male
ارشا,both
ارشاد,male
ارشاسب,male
ارشاك,male
ارشام,male
ارشامه,female
ارشان,male
ارشانوش,both
ارشاویر,male
ارشز,male
ارشك,male
ارشن,male
ارشنوش,female
ارشویر,male
ارشیا,both
